------------------------------
Config: dim 12 window 5
Init Dataloader
Using device: cuda
Begin Training
epoch 1 | batch 1000/43315 batches | ms/batch 2.2301063537597656 | loss 14376.1414
epoch 1 | batch 2000/43315 batches | ms/batch 1.98409104347229 | loss 30955.9507
epoch 1 | batch 3000/43315 batches | ms/batch 1.8969669342041016 | loss 47404.7719
epoch 1 | batch 4000/43315 batches | ms/batch 1.855345606803894 | loss 58850.0861
epoch 1 | batch 5000/43315 batches | ms/batch 1.8321077346801757 | loss 61845.6902
epoch 1 | batch 6000/43315 batches | ms/batch 1.8172709544499714 | loss 64708.9443
epoch 1 | batch 7000/43315 batches | ms/batch 1.80428603717259 | loss 67665.1956
epoch 1 | batch 8000/43315 batches | ms/batch 1.791277915239334 | loss 70654.7518
epoch 1 | batch 9000/43315 batches | ms/batch 1.7798428270551894 | loss 73652.3331
epoch 1 | batch 10000/43315 batches | ms/batch 1.7721298933029175 | loss 76589.9892
epoch 1 | batch 11000/43315 batches | ms/batch 1.7671740705316716 | loss 79592.6047
epoch 1 | batch 12000/43315 batches | ms/batch 1.7637614409128826 | loss 82632.3990
epoch 1 | batch 13000/43315 batches | ms/batch 1.7611890205970178 | loss 85747.5046
epoch 1 | batch 14000/43315 batches | ms/batch 1.7587910890579224 | loss 88764.4240
epoch 1 | batch 15000/43315 batches | ms/batch 1.7554993947347006 | loss 91695.4107
epoch 1 | batch 16000/43315 batches | ms/batch 1.7516972869634628 | loss 106562.0276
epoch 1 | batch 17000/43315 batches | ms/batch 1.7478563084321863 | loss 121888.1631
epoch 1 | batch 18000/43315 batches | ms/batch 1.7452138132519193 | loss 137402.3746
epoch 1 | batch 19000/43315 batches | ms/batch 1.743107795715332 | loss 152904.5964
epoch 1 | batch 20000/43315 batches | ms/batch 1.7411587119102478 | loss 168253.6870
epoch 1 | batch 21000/43315 batches | ms/batch 1.7403949555896578 | loss 183618.8641
epoch 1 | batch 22000/43315 batches | ms/batch 1.7396017204631458 | loss 199051.2535
epoch 1 | batch 23000/43315 batches | ms/batch 1.7385480818541155 | loss 214525.3846
epoch 1 | batch 24000/43315 batches | ms/batch 1.7374601364135742 | loss 229950.5594
epoch 1 | batch 25000/43315 batches | ms/batch 1.7356743717193603 | loss 245309.8017
epoch 1 | batch 26000/43315 batches | ms/batch 1.7338517170685988 | loss 260654.8476
epoch 1 | batch 27000/43315 batches | ms/batch 1.7319122950236003 | loss 276068.0440
epoch 1 | batch 28000/43315 batches | ms/batch 1.7300922955785478 | loss 291575.2795
epoch 1 | batch 29000/43315 batches | ms/batch 1.72854338843247 | loss 307074.4475
epoch 1 | batch 30000/43315 batches | ms/batch 1.7277014573415121 | loss 322516.5840
epoch 1 | batch 31000/43315 batches | ms/batch 1.7268143853833597 | loss 338207.6309
epoch 1 | batch 32000/43315 batches | ms/batch 1.7262499257922173 | loss 353646.9195
epoch 1 | batch 33000/43315 batches | ms/batch 1.7255162831508752 | loss 369043.0855
epoch 1 | batch 34000/43315 batches | ms/batch 1.7252093693789314 | loss 384364.1708
epoch 1 | batch 35000/43315 batches | ms/batch 1.724464498247419 | loss 399816.4510
epoch 1 | batch 36000/43315 batches | ms/batch 1.72433293528027 | loss 415189.6910
epoch 1 | batch 37000/43315 batches | ms/batch 1.7236333924370844 | loss 430575.1608
epoch 1 | batch 38000/43315 batches | ms/batch 1.722680179696334 | loss 446166.3959
epoch 1 | batch 39000/43315 batches | ms/batch 1.721662130111303 | loss 461462.2914
